trip_id,stoptime,bikeid,tripduration,Trip Time,Trip Duration,from_station_id,to_station_id,usertype,latitude_start,longitude_start,latitude_end,longitude_end,dist,day,hour,month,startday,weekend,holiday,Temp,Humidity,Rain Intensity,Wind Speed
25779962,25-11-2019 18:55,3627,"1,177.00",19.61666667,19,116,511,Subscriber,41.91552,-87.687022,41.91402671,-87.70512646,1.507219296,0,18,11,25-11-2019,0,0,24.6,90,0.0,2.2
25277955,04-10-2019 15:44,5195,535,8.916666667,8,359,289,Subscriber,41.90348607,-87.64335349,41.912133,-87.634656,1.201045179,2,15,4,10-04-2019,0,0,24.6,90,0.0,2.2
25439942,16-10-2019 08:57,157,"1,170.00",19.5,19,163,48,Subscriber,41.931931,-87.677856,41.897764,-87.642884,4.77573203,2,8,10,16-10-2019,0,0,24.6,90,0.0,2.2
25644812,05-11-2019 07:29,1529,383,6.383333333,6,77,43,Subscriber,41.882242,-87.641066,41.88389277,-87.62464914,1.371419229,5,7,5,11-05-2019,1,0,24.6,90,0.0,2.2
23590843,06-07-2019 16:49,5729,"7,191.00",119.85,119,85,85,Customer,41.90096039,-87.62377664,41.90096039,-87.62377664,0,4,14,6,07-06-2019,0,0,22.0,85,0.0,7.5
22258026,08-04-2019 19:58,4655,,25.06666667,25,181,337,,41.890755,-87.632009,41.896544,-87.630931,0.649862231,0,19,4,08-04-2019,0,0,23.9,85,0.0,1.4
24174634,04-08-2019 17:11,152,506,8.43,8,35,24,Subscriber,41.892278,-87.612043,41.89186,-87.62062,0.711471979,0,17,4,08-04-2019,0,0,23.9,86,0.0,3.4
25860551,10-12-2019 09:07,5232,353,5.883333333,5,66,287,Subscriber,41.885637,-87.641823,41.880317,-87.635185,0.807418576,5,9,10,12-10-2019,1,0,24.6,90,0.0,2.2
25684355,09-11-2019 20:18,4616,332,5.533333333,5,24,199,Subscriber,41.89186,-87.62062,41.890912,-87.626804,0.522620842,2,20,9,11-09-2019,0,0,24.6,90,0.0,2.2
23816157,17-07-2019 17:29,1266,695,11.58,11,114,13,Subscriber,41.949399,-87.654529,41.932418,-87.652705,1.894218362,2,17,7,17-07-2019,0,0,27.6,82,0.0,0.5
23684262,11-07-2019 14:47,4163,546,9.1,9,52,145,Subscriber,41.886024,-87.624117,41.89858665,-87.62191523,1.408741611,3,14,11,07-11-2019,0,0,21.1,85,0.0,2.1
